community,census_tract,county,hardship_index,ma_percentile,pop_total,percapita_income,percent_not_hs_grad,percent_unemployed,percent_dependent,percent_poverty,percent_crowding
Back Bay,108.02, Suffolk County,9.535398411301815,0,2849,108201,0,2,17.60000000000001,8.7,0
Back Bay,107.02, Suffolk County,12.342159751039256,0,2446,109890,2,2.5,19,9.2,2.2
North End,305, Suffolk County,12.455550564206137,0,2610,98205,2.8,2.2,18,7.1,1.2
South End,706, Suffolk County,13.236595050991012,0,2324,109690,1.1,1.8,25.299999999999997,2.8,3.7
Beacon Hill,201.01, Suffolk County,13.682109472732582,0,4416,110103,0,4.9,30.299999999999997,4.5,0.6
Back Bay,107.01, Suffolk County,13.827923243353801,0,2825,79586,0.5,3,12.200000000000003,10.9,0.8
Back Bay,106, Suffolk County,14.325378449051508,0,3033,119317,2.6999999999999997,3.2,29.599999999999994,13.2,0.7
Cambridge,3541, Middlesex County,14.882028053956647,1,2769,99686,1.7,2.2,29,4.9,1.6
Back Bay,108.01, Suffolk County,14.962469687844363,1,3091,112185,1.5,5.3,27.799999999999997,5.9,2.3
,606, Suffolk County,15.329548498307654,1,2679,75190,1.5,3.9,13.599999999999994,6.2,2
Somerville,3509, Middlesex County,15.614823903119644,1,3622,63295,1.2,2.6,15.5,7.6,0
,3662.01, Middlesex County,15.645259922568735,1,3423,97067,0.5,0.8,41.7,0.9,0
Cambridge,3542, Middlesex County,15.971691237091925,1,3319,120813,1,3.5,45.8,5.5,0
Charlestown,401, Suffolk County,17.020155232313964,1,2399,74928,2.9000000000000004,1.7,30.599999999999994,2.4,0
Cambridge,3548, Middlesex County,17.194020006593004,1,2111,61949,1.2,1.1,23.5,4.5,0.7
Beacon Hill,203.02, Suffolk County,17.23464311233051,1,995,72428,0.8,4.9,18,12.6,0
,1206, Suffolk County,17.251156393095307,1,2580,57665,1,2.4,16.60000000000001,10.3,0
South Boston,612, Suffolk County,17.56102612594002,1,3551,73852,2.3,3.1,8.399999999999991,8.1,6
North End,304, Suffolk County,17.974102552323572,1,2608,56967,8.6,1.1,13.900000000000006,10.4,0
Somerville,3508, Middlesex County,18.031835908735232,1,1953,57083,4.8,2.3,18.19999999999999,5.2,0.7
Cambridge,3544, Middlesex County,18.297862730773318,1,1858,73796,1.3,2.9,29.599999999999994,7.5,0
North End,301, Suffolk County,18.4662286258983,2,2151,59885,4,2.1,17.200000000000003,13.2,0
Beacon Hill,202, Suffolk County,18.479105532109873,2,3894,62385,4.3,2.2,11.400000000000006,17.3,1.1
,3672, Middlesex County,18.617093991493718,2,7949,100845,1.7,3.5,46.6,3.1,0
,4051, Norfolk County,19.13618001944771,2,5814,96777,1,5.6,45.8,0.6,0
South Boston,605.01, Suffolk County,19.184370593631566,2,4056,58527,3.3000000000000003,5.6,16.799999999999997,9,0.3
,1201.03, Suffolk County,19.203987446376576,2,1625,66879,1.5,0.8,33.60000000000001,6.3,0
Cambridge,3521.01, Middlesex County,19.326280389596686,2,1783,54400,1.4,1.5,11.900000000000006,23.5,0
,3737, Middlesex County,19.381153435315895,2,3533,90239,0.6000000000000001,5.6,43,1.5,0
,3736, Middlesex County,19.42012175859828,2,6222,47220,1.7999999999999998,2.9,18.599999999999994,9,0
South Boston,608, Suffolk County,19.43349632388857,2,5118,55976,11.8,1.2,13.800000000000011,12.3,0
Cambridge,3529, Middlesex County,19.436123168580085,2,2920,65074,1.7,2,29.39999999999999,8.6,0
Cambridge,3540, Middlesex County,19.438476904955312,2,4268,54520,0.30000000000000004,2.9,18.10000000000001,14.1,0.4
Charlestown,406, Suffolk County,19.538032617138246,2,2872,64771,4,4.7,21,7.5,1.1
,3735, Middlesex County,19.540207919709303,2,6197,85532,0.4,5.9,39.1,3.6,0
,3613, Middlesex County,19.589606336354183,2,6126,78281,2.1,1.2,41.39999999999999,4,0
,3602, Middlesex County,19.603399253160944,3,5262,87394,2.6,2.1,44.39999999999999,3.6,0
,4042.02, Norfolk County,19.746797228186576,3,5006,68901,3.1,3.2,32.2,2.5,0.8
,203.01, Suffolk County,19.766905344324005,3,2371,82577,3.2,3,22.299999999999997,13,3.6
South End,707, Suffolk County,19.780501065827636,3,2966,74862,5.8,8.5,20.60000000000001,9.3,0
Cambridge,3521.02, Middlesex County,19.887853437188276,3,2414,75863,5.3,4.9,25.200000000000003,11.6,0.2
,4122, Norfolk County,20.027379217775636,3,3674,94747,0.2,2.1,52.400000000000006,2.8,0
Cambridge,3536, Middlesex County,20.090070748204596,3,4730,42749,2.3,4.6,16.299999999999997,8.1,0
,4011, Norfolk County,20.2887691629311,3,4596,84172,1.7,3.2,42.2,4,0.6
,3651, Middlesex County,20.406030543866716,3,7818,77601,1.9,3.9,42.50000000000001,0.8,0
South Boston,601.01, Suffolk County,20.43483811409167,3,3798,58222,4.699999999999999,3.7,22.200000000000003,8.1,0.8
,3743, Middlesex County,20.54110359877453,3,3632,84721,0.4,3.8,45.6,3.6,0
Cambridge,3547, Middlesex County,20.541398762145718,3,2627,65287,2.1999999999999997,3.2,33.400000000000006,5.8,0
,3621, Middlesex County,20.62214270836704,3,5074,83864,1.5,5.4,41.5,2.4,0.5
,3561, Middlesex County,20.63022626268886,3,3111,64221,4.3,4.2,30.5,3.2,0.5
South End,703, Suffolk County,20.667667143533176,4,4350,80288,6.1,5.3,27.099999999999994,10.9,1
Cambridge,3545, Middlesex County,20.70106029933721,4,2085,74353,2,3,33.5,12.1,0
,3861, Middlesex County,20.98031165589909,4,4245,75427,1.4,3.5,44.1,1.3,0
,3748, Middlesex County,21.020913911434103,4,4664,50700,2.0999999999999996,3.3,29.400000000000006,2.3,0.5
,3734, Middlesex County,21.058184790195742,4,3548,70316,0.6000000000000001,1.9,39.2,4.6,1.1
,2022, Essex County,21.14767817791289,4,5930,71344,1.1,5.3,38.199999999999996,3.4,0
,3587, Middlesex County,21.166654915990957,4,5087,79625,1.3,4.9,42.10000000000001,2.3,0.6
South End,708, Suffolk County,21.18295545694149,4,3722,64203,5,3.8,15.5,19.5,1.5
,7411.02, Worcester County,21.268288674957578,4,5298,70566,2.9,4,39.4,2.6,0
,1201.05, Suffolk County,21.394217277476653,4,2620,71877,2.2,3.4,36.89999999999999,8.6,0
Somerville,3505, Middlesex County,21.407563169096814,4,1518,50013,4.8,6.9,19.89999999999999,6.5,0
Cambridge,3533, Middlesex County,21.445221369483956,4,3562,60750,2.4,3.5,28.10000000000001,8.3,1.2
North End,302, Suffolk County,21.499461786543183,4,1738,56039,6.6,2.3,17.5,14.6,1.6
,4042.01, Norfolk County,21.558865627189913,4,3849,94940,1.3,5.9,50.7,2.8,0
,3742, Middlesex County,21.68929788517957,4,4431,77757,1.2,4.4,39.7,2.6,2
,4043.01, Norfolk County,21.72772500474906,5,5510,90572,0.5,5.1,48.699999999999996,4,0.5
,3739, Middlesex County,21.802310771041608,5,6641,89547,0.8,4.8,47.8,5,0.5
Somerville,3506, Middlesex County,21.81458217232346,5,4441,27940,2.9,3.1,9.599999999999994,16.5,0
,2543.01, Essex County,21.870603414474285,5,4121,62043,1.4,2.5,42.199999999999996,1.3,0
,4044, Norfolk County,21.89612000870683,5,6723,59794,2.8,7.2,29,5.1,0
,3385, Middlesex County,21.914852790489803,5,5885,80444,0.3,2.6,45.900000000000006,3.5,1.6
,3733, Middlesex County,21.98348420203726,5,2797,56717,4.2,2.2,34,5.8,0
South Boston,604, Suffolk County,21.983498515324047,5,5378,53991,7.1,5.8,21.5,8.9,0
,3671, Middlesex County,22.00069400540539,5,3901,83151,1.2999999999999998,5,47.6,3.1,0
,3744, Middlesex County,22.009081577393193,5,6049,99775,2.5999999999999996,3.5,48.3,3.2,3.1
,3581, Middlesex County,22.092797553024038,5,5258,71567,2.1,3.3,43.599999999999994,1.2,0.8
,3201.04, Middlesex County,22.108539305939882,5,7742,60357,2,3.8,39.199999999999996,1.7,0
,104.08, Suffolk County,22.122167498776275,5,1484,45934,5.7,2,11.099999999999994,19.9,1.7
,3652.01, Middlesex County,22.296859670721542,5,5810,71514,1.4,5.2,42.8,2.7,0
,4007, Norfolk County,22.315246576591353,6,3325,61206,1.4000000000000001,6.5,30.299999999999997,6.6,0.7
,4422.01, Norfolk County,22.32904418168079,6,3914,63518,2.1,4.8,36.60000000000001,2.5,0.9
,3566.02, Middlesex County,22.385527396171636,6,4230,61382,2.6,1.9,39.7,3.8,0.6
Somerville,3504, Middlesex County,22.39637637081417,6,5587,46433,5.4,2.9,21.799999999999997,13.1,0
,3578, Middlesex County,22.398701884123984,6,3824,79470,2.4,3.1,43.699999999999996,4.3,1.6
,9501, Nantucket County,22.470869279997043,6,1395,71289,3,0.6,45.199999999999996,5.8,0.5
,3343, Middlesex County,22.47224952613884,6,7491,53187,1.8,3.1,39.10000000000001,0.7,0
,5011.02, Plymouth County,22.476954291127882,6,8571,65419,2,2.7,42.7,4.1,0
,3301, Middlesex County,22.60389005551842,6,8427,54490,1.5,4.1,37.3,2.5,0
,2543.02, Essex County,22.625163790042034,6,4764,62813,0.4,3.1,41.800000000000004,2.9,0.7
,2532.03, Essex County,22.63684221493601,6,4333,69654,3,3.5,46.10000000000001,0.7,0
Cambridge,3538, Middlesex County,22.67195007925783,6,4516,52618,3.2,5.6,14.400000000000006,16.4,2.2
,3702.01, Middlesex County,22.70750772207921,6,3629,58209,2.9,3.5,31.299999999999997,7.4,1.3
Somerville,3512.03, Middlesex County,22.716733265844812,6,4391,41833,7.2,3.9,17.299999999999997,13.2,0
,3632.02, Middlesex County,22.72405985133287,6,3709,52839,0.3,1.9,38.5,3.1,0.9
,8129.03, Hampden County,22.728640124279863,7,2723,4399,3.4,4.5,1.7000000000000028,12.7,0
,4091.02, Norfolk County,22.769731842664996,7,5311,52751,1.6,2.1,39.3,3.5,0
,9856, Bristol County,22.814175777452363,7,5263,35851,1.2,5.9,24.400000000000006,2.9,0.5
,4004, Norfolk County,22.829866103381814,7,6129,64991,3.8,4,32.900000000000006,10,0.7
,3704, Middlesex County,22.962126158353826,7,5184,43703,6,3.5,26.80000000000001,6.3,0
,3652.02, Middlesex County,22.971616415732793,7,4769,70988,0.6,4.8,47.39999999999999,1.4,0
,2681, Essex County,22.99176231325292,7,2677,49341,2.9000000000000004,2.7,38.4,1,0
,8219.04, Hampshire County,23.032301638243904,7,2633,38172,4,2.4,19,14.3,0.7
,2045, Essex County,23.064468571392634,7,3049,42841,7.300000000000001,1.6,28.799999999999997,4.8,0.4
,3384, Middlesex County,23.1084110006534,7,5849,73574,2.3000000000000003,2.3,48.2,5.4,0
