community,n,pop,hardship_index_rawscore_mean,hardship_index_rawscore_sd,hardship_index_mean,hardship_index_sd,percapita_income_mean,percapita_income_sd,percent_not_hs_grad_mean,percent_not_hs_grad_sd,percent_unemployed_mean,percent_unemployed_sd,percent_dependent_mean,percent_dependent_sd,percent_poverty_mean,percent_poverty_sd,percent_crowding_mean,percent_crowding_sd
Allston,4,19761,31.676611339734954,4.152335522910568,53.010000000000005,23.451366697913368,24064.5,6425.2058073393,6.8500000000000005,5.065899064661013,8.525,0.917877987534291,7.625000000000007,4.6002717311045895,34.3,8.103497187428811,2.4,2.04939015319192
Back Bay,8,23835,19.538739019108387,9.24722994911138,18.65125,26.17758825380433,81804.625,35612.54882336321,2.3125,2.5709572980840094,3.725,2.1191305494740726,29.1375,17.12166025828103,11.8125,7.69219223814456,0.9875,0.8871100753087441
Beacon Hill,3,9305,16.465286039057656,2.489322302970538,0.9400000000000001,0.6199193495931548,81638.66666666667,25157.08978267028,1.7,2.2869193252058544,4,1.5588457268119895,19.900000000000002,9.592184318495965,11.466666666666667,6.474823034904764,0.5666666666666667,0.5507570547286103
Brighton,13,47768,30.466359076796273,4.06829551151907,46.39230769230769,21.748214161874742,32045.23076923077,4830.763520636017,8.861538461538462,4.971005676510281,5.430769230769231,2.973882035147722,21.015384615384615,7.246705706025572,23.623076923076923,6.381242544384002,1.9615384615384615,1.5639365191392633
Cambridge,32,107916,24.959772570046216,5.8959273076657075,23.446875000000002,24.98351074757496,52390.1875,21391.33621946119,5.728125,4.9333123319445455,4.828125,2.148703191049384,23.596875,9.318088007359835,14.61875,7.492036094327742,1.9125,1.9602090079475478
Charlestown,10,34815,29.99132693869896,8.674377034297754,44.17,28.560671482924832,48094.8,17480.06889002443,7.85,4.338778629983327,6.4,3.190959451673152,33.51,6.504776023131859,14.97,11.362027401246076,2.19,2.2678673290609885
Chelsea,8,37581,49.21626648603774,10.100116480720974,88.91125,9.783676547480212,22994.125,6181.032378806726,33.1125,13.189545372864721,9.2125,1.9445436482630056,34.65,3.850417417074972,19.5875,5.012395349816008,10.0625,7.300476990287298
Dorchester,27,115352,43.643142059737706,7.55648904026173,81.96074074074075,16.05825858120888,23498.222222222223,8264.376677753433,21.418518518518518,6.904292813841201,13.481481481481481,5.134876003074618,32.718518518518515,4.8292408255922545,23.72222222222222,10.03307351226752,3.9592592592592593,1.8227745671111175
Downtown/Chinatown/LeatherDistrict,4,20477,32.91404190620758,13.813336958338464,40.3675,39.16884252821367,61176.25,31813.441125568294,18.55,20.9447686388113,8,2.0461345670963738,22.074999999999996,2.221673543375208,22.325,5.207286561476459,5.55,3.479942528261063
East Boston,11,44503,48.4155925847365,8.26996463943248,89.14454545454545,9.051844412755186,24840.636363636364,5143.843471038505,33.32727272727273,9.530486966476676,9.090909090909092,2.5367122601724246,29.299999999999997,5.85798600203176,20.48181818181818,6.767099553252956,11.018181818181818,6.24192569353692
Fenway,8,32210,32.74921191778611,7.3345539220849485,52.82125,28.59024031153688,26149.25,15713.501489847149,4.8125,4.168739960364865,9.0375,5.002838480017404,7.024999999999999,4.644120707179901,39.9875,12.568604593532704,2.925,2.7264576704162176
Hyde Park,7,35576,34.442008109349075,3.126155555923766,66.45285714285714,8.865731243173935,30074.285714285714,4753.4752449930675,11.3,3.090846701687636,8.685714285714285,2.5770969270534962,34.75714285714286,2.410986757088713,8.857142857142858,4.555530390948691,3.5571428571428574,1.3189100839419683
Jamaica Plain,10,34006,28.451271378886663,10.11703381913795,33.688,34.690288682697485,45567.7,17171.47607096011,7.460000000000001,6.906711711564822,6.01,3.8167612797588832,27.74,7.035497297435499,17.77,9.561618877342662,1.3699999999999999,1.8031145893209954
LMA,1,5233,33.457344672664036,NaN,64.83,NaN,7011,NaN,6.3999999999999995,NaN,10.6,NaN,2.0999999999999943,NaN,24.3,NaN,5.6,NaN
Mattapan,5,23672,44.13716221103681,6.360027080727834,84.9,9.554491090581434,20639,5405.451183758854,21.419999999999998,7.058470089190716,14.72,3.7969724781725773,35.220000000000006,1.556277610196844,21.02,7.1580025146684605,3.3,1.372953021774598
Mission Hill,4,16700,42.11629977057535,6.2052822512122,82.2775,9.374128848413948,20345.75,7967.363485913434,15.5,9.008144463021598,8.3,4.3228077295510925,22.099999999999998,6.475080437080811,42.55,4.286801449410349,4.375,2.976995129320839
North End,4,9107,17.5988358822428,3.7665838436373797,1.775,1.7597442996071897,67774,20353.40721681098,5.5,2.605123157677323,1.925,0.5560275772537425,16.650000000000002,1.8627936010197133,11.325,3.3139855159611065,0.7,0.8246211251235321
Revere,10,53095,38.50178311633749,3.7720254166927614,76.75,7.737060883249603,27158.8,3585.9444688022336,17.68,4.480029761805904,8.99,2.0941452777790857,32.75,5.055305244108523,16.78,6.338208649838603,4.13,2.350437311556204
Roslindale,8,28644,34.36955372006126,4.75864493020802,63.42125,15.490019309680852,33483.5,9268.668096642272,12.6375,4.510602588821777,9.0375,2.0212708166610716,33.2375,4.4538707082395526,14.175,5.7105791550169664,2.3375,2.0092198201576363
Roxbury,15,50892,47.746949129371856,6.39113303578649,89.00666666666666,8.73301753336699,17813.8,4765.593640131012,24.3,7.629266955986943,13.82,4.70792644680983,32.78,7.931690506172964,35.54666666666667,7.898812448415148,3.2733333333333334,2.6127343822862956
Somerville,18,78595,27.428928314901167,6.8480009446917105,32.21333333333333,29.601941510253525,39513.444444444445,9794.593636120491,10.205555555555556,7.809983973940191,5.2444444444444445,2.690554769433297,21.36111111111111,5.16460110513517,13.088888888888889,5.591578635232356,2.2944444444444443,2.3734988375868533
South Boston,10,35660,31.784410610430957,18.461787343614745,31.666,43.79946377145121,45085.3,22075.138323714105,14.28,13.914325152318543,8.15,7.314103575361174,24.84,11.548660335967785,20.55,19.383684433621546,2.17,2.814269196631891
South End,9,31601,30.12876846953082,14.634686079957003,37.172222222222224,41.22882267836961,62759.88888888889,27557.52307195099,13.755555555555555,11.499685986050999,7.544444444444444,5.316745035995029,26.3,8.203352973022676,21.022222222222222,13.200168349094811,3.077777777777778,2.3036806298713466
West End,1,2371,19.766905344324005,NaN,2.62,NaN,82577,NaN,3.2,NaN,3,NaN,22.299999999999997,NaN,13,NaN,3.6,NaN
West Roxbury,7,32795,29.37799908215864,5.483596834497407,38.214285714285715,26.47284385752241,41854.71428571428,8886.919708468278,6.6571428571428575,5.224894621858302,5.428571428571429,2.4675995661872734,39.94285714285714,5.3425515573419755,7.271428571428571,5.902461149304383,1.3571428571428572,1.5967228342839621
