community,census_tract,county,hardship_index,ma_percentile,pop_total,percapita_income,percent_not_hs_grad,percent_unemployed,percent_dependent,percent_poverty,percent_crowding
Back Bay,108.02, Suffolk County,9.535398411301815,0,2849,108201,0,2,17.60000000000001,8.7,0
Back Bay,107.02, Suffolk County,12.342159751039256,0,2446,109890,2,2.5,19,9.2,2.2
North End,305, Suffolk County,12.455550564206137,0,2610,98205,2.8,2.2,18,7.1,1.2
South End,706, Suffolk County,13.236595050991012,0,2324,109690,1.1,1.8,25.299999999999997,2.8,3.7
Beacon Hill,201.01, Suffolk County,13.682109472732582,0,4416,110103,0,4.9,30.299999999999997,4.5,0.6
Back Bay,107.01, Suffolk County,13.827923243353801,0,2825,79586,0.5,3,12.200000000000003,10.9,0.8
Back Bay,106, Suffolk County,14.325378449051508,0,3033,119317,2.6999999999999997,3.2,29.599999999999994,13.2,0.7
Cambridge,3541, Middlesex County,14.882028053956647,1,2769,99686,1.7,2.2,29,4.9,1.6
Back Bay,108.01, Suffolk County,14.962469687844363,1,3091,112185,1.5,5.3,27.799999999999997,5.9,2.3
Somerville,3509, Middlesex County,15.614823903119644,1,3622,63295,1.2,2.6,15.5,7.6,0
Cambridge,3542, Middlesex County,15.971691237091925,1,3319,120813,1,3.5,45.8,5.5,0
Charlestown,401, Suffolk County,17.020155232313964,1,2399,74928,2.9000000000000004,1.7,30.599999999999994,2.4,0
Cambridge,3548, Middlesex County,17.194020006593004,1,2111,61949,1.2,1.1,23.5,4.5,0.7
Beacon Hill,203.02, Suffolk County,17.23464311233051,1,995,72428,0.8,4.9,18,12.6,0
South Boston,612, Suffolk County,17.56102612594002,1,3551,73852,2.3,3.1,8.399999999999991,8.1,6
North End,304, Suffolk County,17.974102552323572,1,2608,56967,8.6,1.1,13.900000000000006,10.4,0
Somerville,3508, Middlesex County,18.031835908735232,1,1953,57083,4.8,2.3,18.19999999999999,5.2,0.7
Cambridge,3544, Middlesex County,18.297862730773318,1,1858,73796,1.3,2.9,29.599999999999994,7.5,0
North End,301, Suffolk County,18.4662286258983,2,2151,59885,4,2.1,17.200000000000003,13.2,0
Beacon Hill,202, Suffolk County,18.479105532109873,2,3894,62385,4.3,2.2,11.400000000000006,17.3,1.1
South Boston,605.01, Suffolk County,19.184370593631566,2,4056,58527,3.3000000000000003,5.6,16.799999999999997,9,0.3
Cambridge,3521.01, Middlesex County,19.326280389596686,2,1783,54400,1.4,1.5,11.900000000000006,23.5,0
South Boston,608, Suffolk County,19.43349632388857,2,5118,55976,11.8,1.2,13.800000000000011,12.3,0
Cambridge,3529, Middlesex County,19.436123168580085,2,2920,65074,1.7,2,29.39999999999999,8.6,0
Cambridge,3540, Middlesex County,19.438476904955312,2,4268,54520,0.30000000000000004,2.9,18.10000000000001,14.1,0.4
Charlestown,406, Suffolk County,19.538032617138246,2,2872,64771,4,4.7,21,7.5,1.1
South End,707, Suffolk County,19.780501065827636,3,2966,74862,5.8,8.5,20.60000000000001,9.3,0
Cambridge,3521.02, Middlesex County,19.887853437188276,3,2414,75863,5.3,4.9,25.200000000000003,11.6,0.2
Cambridge,3536, Middlesex County,20.090070748204596,3,4730,42749,2.3,4.6,16.299999999999997,8.1,0
South Boston,601.01, Suffolk County,20.43483811409167,3,3798,58222,4.699999999999999,3.7,22.200000000000003,8.1,0.8
Cambridge,3547, Middlesex County,20.541398762145718,3,2627,65287,2.1999999999999997,3.2,33.400000000000006,5.8,0
South End,703, Suffolk County,20.667667143533176,4,4350,80288,6.1,5.3,27.099999999999994,10.9,1
Cambridge,3545, Middlesex County,20.70106029933721,4,2085,74353,2,3,33.5,12.1,0
South End,708, Suffolk County,21.18295545694149,4,3722,64203,5,3.8,15.5,19.5,1.5
Somerville,3505, Middlesex County,21.407563169096814,4,1518,50013,4.8,6.9,19.89999999999999,6.5,0
Cambridge,3533, Middlesex County,21.445221369483956,4,3562,60750,2.4,3.5,28.10000000000001,8.3,1.2
North End,302, Suffolk County,21.499461786543183,4,1738,56039,6.6,2.3,17.5,14.6,1.6
Somerville,3506, Middlesex County,21.81458217232346,5,4441,27940,2.9,3.1,9.599999999999994,16.5,0
South Boston,604, Suffolk County,21.983498515324047,5,5378,53991,7.1,5.8,21.5,8.9,0
Somerville,3504, Middlesex County,22.39637637081417,6,5587,46433,5.4,2.9,21.799999999999997,13.1,0
Cambridge,3538, Middlesex County,22.67195007925783,6,4516,52618,3.2,5.6,14.400000000000006,16.4,2.2
Somerville,3512.03, Middlesex County,22.716733265844812,6,4391,41833,7.2,3.9,17.299999999999997,13.2,0
South Boston,602, Suffolk County,23.248982993101407,7,2412,54934,9.1,6.7,23.900000000000006,8,0
Cambridge,3528, Middlesex County,23.399777550211724,8,2105,45333,12.4,3.4,17.900000000000006,8.2,1.4
Cambridge,3537, Middlesex County,23.51259325770305,8,5527,30680,2.2,5.2,12.400000000000006,18.5,0
South End,705, Suffolk County,23.792778084158083,9,5921,78366,13.1,4.5,23.700000000000003,15.3,2.6
West Roxbury,1301, Suffolk County,23.904048627749933,9,6517,43650,2.4,2.9,35.5,3.3,0.5
Downtown/Chinatown/LeatherDistrict,701.01, Suffolk County,24.31225523321484,11,5668,88038,6.6,5.8,20.69999999999999,22,5.3
Cambridge,3535, Middlesex County,24.42882714820851,11,2635,62808,8.9,3.3,26.700000000000003,12.8,2.4
South Boston,603.01, Suffolk County,24.51303172752444,12,3432,51432,10.2,3.5,23.099999999999994,8.4,2.6
West Roxbury,1303, Suffolk County,24.880893883342225,14,4680,50684,2.8,7.3,37.599999999999994,0.2,0.5
Cambridge,3532, Middlesex County,24.921062941462548,14,5178,40817,5.7,5.9,16.5,15.4,1.5
Downtown/Chinatown/LeatherDistrict,303, Suffolk County,24.989993682164734,14,5511,82812,12,6.8,25.200000000000003,17.8,2.6
Somerville,3501.03, Middlesex County,25.18529514777605,15,1320,39338,4.3,5.9,19,7.7,3.5
Somerville,3512.04, Middlesex County,25.484073435254214,16,4178,35959,3,9.3,16.30000000000001,14.2,0.7
Cambridge,3525, Middlesex County,25.552886712171695,16,2842,45975,6.199999999999999,6.5,18,17.2,1.6
Cambridge,3531.01, Middlesex County,25.563041806706284,17,2525,39173,6,4.5,12.800000000000011,22,2
Somerville,3511, Middlesex County,25.57322512167968,17,6090,41526,9.9,3.1,22.299999999999997,11.6,1.8
Somerville,3503, Middlesex County,25.637250549759756,17,2591,40079,7.4,6.9,21.799999999999997,8.1,1.5
West Roxbury,1302, Suffolk County,26.282143882411514,21,5008,46919,4.2,2.9,36.7,8.9,1.3
Cambridge,3534, Middlesex County,26.45481619350198,22,2888,47124,8.399999999999999,4.1,21.900000000000006,11.7,3.9
Cambridge,3523, Middlesex County,26.69709910260184,24,3671,55922,3.5999999999999996,6.2,23,22.1,2.5
Cambridge,3546, Middlesex County,27.161750199850882,27,5187,55271,4,8.5,31,10.3,2.3
Dorchester,1007, Suffolk County,27.16891640830114,27,4370,40926,11.5,5.4,33.8,4.3,0
West Roxbury,1304.02, Suffolk County,27.621824350849902,31,4908,37603,6.8,4.7,36.8,7,0
Somerville,3510, Middlesex County,27.676369726111776,32,7757,38693,5.300000000000001,6.8,18.099999999999994,20.9,1.9
Charlestown,402, Franklin County,27.86818725430061,33,4486,32053,5,5,34.5,7.5,0.4
Cambridge,3530, Middlesex County,27.90993547993858,33,3626,49555,10.1,5.2,25.5,17.8,1.8
Charlestown,403, Franklin County,28.072944743012105,35,3022,31602,5.2,5.5,37.89999999999999,4.3,0
Back Bay,105, Barnstable County,28.527110657903037,38,2839,52538,1.4,0.9,58.6,6.8,0
Charlestown,406, Franklin County,28.627215089094467,39,4730,39803,4.4,5,38.4,8.2,1.3
Downtown/Chinatown/LeatherDistrict,203.03, Suffolk County,28.948060180492096,41,3574,55239,5.8999999999999995,10.2,20.299999999999997,19.8,3.8
Dorchester,1008, Suffolk County,29.57468667299624,45,6716,43270,8.399999999999999,10.3,31,6.5,1.9
Somerville,3502, Middlesex County,29.6183062637147,45,6499,36360,15.6,8.3,27.700000000000003,7.6,0.4
Cambridge,3550, Middlesex County,29.755224574421334,46,3077,45165,10.8,6,32.19999999999999,10.5,2.5
Cambridge,3543, Middlesex County,29.858820452645507,47,3580,40006,8,4.8,35.89999999999999,11.8,1.6
Charlestown,403, Suffolk County,29.964108819635403,47,4325,67638,8.3,6.4,31.700000000000003,22.1,3.9
Back Bay,105, Suffolk County,29.968847308562555,47,3333,30436,8.3,5.8,16.69999999999999,30,0.6
Cambridge,3539, Middlesex County,30.110806827652965,48,6353,20072,2.4,4.9,7,21.6,7.4
Somerville,3513, Middlesex County,30.523098740933392,51,3862,37924,12.7,4.5,25.200000000000003,16.4,3.1
West Roxbury,1304.04, Suffolk County,31.28345362822857,54,3337,37604,10.3,4.7,39.800000000000004,3.6,3.4
West Roxbury,1106.01, Suffolk County,31.931747715677393,59,2946,50612,3.4,9.8,50.900000000000006,9.6,0
Cambridge,3522, Middlesex County,32.00061061440574,59,1897,44009,9.5,9,30,18.5,2.1
South End,709, Suffolk County,32.12769063641631,59,3153,43889,14.5,7,25.89999999999999,22.5,2
Charlestown,408.01, Suffolk County,32.43974391115033,61,4098,57607,14.1,5,26,31.1,3.4
Revere,1703, Suffolk County,32.520769939530545,61,8985,31590,14.8,6.5,30.39999999999999,10.2,2.7
Back Bay,106, Barnstable County,32.82062464381075,62,3419,42284,2.1,7.1,51.6,9.8,1.3
Cambridge,3549, Middlesex County,33.149842843038755,64,6169,39660,10.399999999999999,4.5,31.900000000000006,17.8,4.6
Somerville,3514.03, Middlesex County,33.43573312197287,65,4158,31823,22.3,1.4,23.89999999999999,14.1,5.5
Cambridge,3531.02, Middlesex County,33.589408983837274,65,4922,12558,0,8.5,2.700000000000003,39.9,5
Charlestown,401, Franklin County,33.62402089096485,66,4519,28955,8.7,8,39.400000000000006,10.9,1.3
Dorchester,922, Suffolk County,33.69701175876006,66,3264,33372,17.6,8.7,28.10000000000001,8,3.8
Dorchester,910.01, Suffolk County,33.761365110780616,66,3217,37022,18,8.9,28.299999999999997,11.6,3.1
Cambridge,3526, Middlesex County,33.783064223040505,66,2412,36035,14.100000000000001,9.1,23.19999999999999,21.7,2.8
South End,711.01, Suffolk County,33.89236724721228,67,4067,54668,13.4,4.8,21.400000000000006,36.5,5
Charlestown,404.01, Suffolk County,33.927510263659094,67,2523,52650,10.6,9.3,33.3,21.8,3.3
Cambridge,3527, Middlesex County,33.97562164140303,67,2319,32279,15.6,7.7,17,13.9,7.3
Revere,1708, Suffolk County,34.65788678466328,69,5200,27044,19.2,11.2,31.099999999999994,10.8,0
